Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:diags_01	A&E diagnosis - anatomical side	Clinical diagnoses	The A&E diagnosis anatomical side (an indication of the side of the human body). This field contains a description of the diagnosis anatomical side.	survey administration		disease or trauma	
GE:noprocs	Number of Procedures	Clinical diagnoses	The number of procedures in an episode. Prior to 2017-18 this was the number available in HES. From 2017-18 this is the number submitted to SUS even though HES does not receive all of them.	surgical interventions			
GE:nodiags	Number of Diagnoses	Clinical diagnoses	The number of diagnoses in an episode. Prior to 2017-18 this was the number available in HES. From 2017-18 this is the number submitted to SUS even though HES does not receive all of them.	diseases		disease or trauma	
GE:clinical_investigations	Clinical Investigations					investigations made at the ER (broad)	
GE:invest2_11	invest2_11	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_02	invest_02	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_03	invest_03	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_04	invest_04	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_05	invest_05	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_06	invest_06	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_07	invest_07	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_08	invest_08	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_09	invest_09	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_10	invest_10	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_11	invest_11	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest_12	invest_12	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_02	invest2_02	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_03	invest2_03	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_04	invest2_04	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_05	invest2_05	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_06	invest2_06	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_07	invest2_07	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_08	invest2_08	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_09	invest2_09	Clinical Investigations		laboratory measures|physiological measurements			
GE:invest2_10	invest2_10	Clinical Investigations		laboratory measures|physiological measurements			
GE:noinvests	Number of Investigations	Clinical Investigations	The number of investigations in an episode. Prior to 2017-18 this was the number available in HES. From 2017-18 this is the number submitted to SUS even though HES does not receive all of them.	survey administration			
GE:invest_01	A&E investigation	Clinical Investigations	The A&E investigation recorded for an A&E attendance. The CDS allows an unlimited number of investigations to be submitted, however, only the first 12 investigations are available within HES. The A&E investigation is a six character code made up of, investigation (n2) and local sub-analysis (up to an4). As the sub-analysis is for local use it cannot be classified.	survey administration		should I use OR or just two parents?	
GE:invest2_01	A&E Investigation: 2 character	Clinical Investigations	The A&E investigation description. This field contains a description based upon the investigation (first 2 characters) of the A&E investigation code and only displays a code where it is unclassifiable against the A&E Investigation classification.	survey administration			
GE:invest2_12	invest2_12	Clinical Investigations		laboratory measures|physiological measurements		are these questions to determine if knee replacement is NEEDED (symptoms) or after knee replacement?	
GE:clinical_treatments	Clinical Treatments					treatments made at the ER (broad) - either pharmaceutical or non-pharmaceutical	
GE:treat_02	treat_02	Clinical Treatments		medication			
GE:treat_03	treat_03	Clinical Treatments		medication			
GE:treat_04	treat_04	Clinical Treatments		medication			
GE:treat_05	treat_05	Clinical Treatments		medication			
GE:treat_06	treat_06	Clinical Treatments		medication			
GE:treat_07	treat_07	Clinical Treatments		medication			
GE:treat_08	treat_08	Clinical Treatments		medication			
GE:treat_09	treat_09	Clinical Treatments		medication			
GE:treat_10	treat_10	Clinical Treatments		medication			
GE:treat_11	treat_11	Clinical Treatments		medication			
GE:treat_12	treat_12	Clinical Treatments		medication			
GE:treat2_02	treat2_02	Clinical Treatments		medication			
GE:treat2_03	treat2_03	Clinical Treatments		medication			
GE:treat2_04	treat2_04	Clinical Treatments		medication			
GE:treat2_05	treat2_05	Clinical Treatments		medication			
GE:treat2_06	treat2_06	Clinical Treatments		medication			
GE:notreats	Number of Treatments	Clinical Treatments	The number of treatments in an episode. Prior to 2017-18 this was the number available in HES. From 2017-18 this is the number submitted to SUS even though HES does not receive all of them.	survey administration			
GE:treat2_07	treat2_07	Clinical Treatments		medication			
GE:treat2_08	treat2_08	Clinical Treatments		medication			
GE:treat2_09	treat2_09	Clinical Treatments		medication			
GE:treat2_10	treat2_10	Clinical Treatments		medication			
GE:treat2_11	treat2_11	Clinical Treatments		medication			
GE:treat2_12	treat2_12	Clinical Treatments		medication			
GE:treat_01	A&E treatment	Clinical Treatments	"The A&E treatment recorded for an A&E attendance. The Commissioning Dataset allows an unlimited number of treatments to be submitted, however, only the first 12 treatments are available within HES. The A&E treatment is a six character code made up of: treatment (n2), sub-analysis (n1) and a local use section (up to an3). As the local use section is used for local codes it cannot be classified.
 
 
 
 A truncated version of the code from this field representing the first 2 and 3 characters can be found in the fields TREAT2_N and TREAT3_N,"	survey administration			
GE:treat2_01	A&E Treatment: 2 character	Clinical Treatments	The first 2 characters of the A&E treatment code (TREAT_N) field, covering the treatment.	survey administration			
GE:clinical_period_of_care	Clinical; Period of Care						
GE:classpat	Patient classification	Clinical; Period of Care	This field identifies day cases, ordinary admissions, regular day and regular night attenders, and the special case of mothers and babies using only delivery facilities. Data about regular day and regular night attenders are not available for analysis prior to 2002-03. Since the introduction of the NHS wide clearing service in April 1996, this field has been derived from related items in the Commissioning Data Set (eg intended management).	survey administration		ordinary, day, night, delivery, etc.	
GE:tretspef	Treatment specialty	Clinical; Period of Care	This field contains a code that defines the specialty in which the consultant was working during the period of care. It can be compared with mainspef, the specialty under which the consultant is contracted. Prior to 1 April 1996, this data item contained the code for the sub-specialty (subspef). From April 2004 a new list of treatment specialities was introduced (see below). The new list describes the specialised service within which the patient was treated.|This field contains a code that defines the specialty in which the consultant was working during the period of care. It can be compared with mainspef, the specialty under which the consultant is contracted. From April 2004 a new list of treatment specialties was introduced (see below). The new list describes the specialised service within which the patient was treated.	physician/practitioner info			
